,Tag,count
399918,singer songwriter,1306
175091,chaotic hardcore,1304
340823,nsbm,1303
433128,thrashcore,1302
206319,drone ambient,1299
441952,turntablism,1296
399878,singer,1293
248101,great,1291
59291,Japanese music,1288
5582,8bit,1283
144247,asian music,1281
309570,mashup,1280
370444,punkrock,1276
254455,hardcore rap,1276
368024,psych,1273
146385,austrian,1271
237404,funky house,1271
57748,Italo Disco,1267
174856,chanson,1265
382984,rock'n'roll,1264
150293,band,1263
419905,swiss,1252
315429,mexican,1242
368725,psychill,1240
446967,us,1233
188592,crust punk,1232
263579,hungarian,1230
208119,duo,1229
353356,percussion,1227
363997,powerviolence,1221
12756,Asian Pop,1212
84720,Officially Shit,1207
294274,latino,1206
5727,90's,1202
419397,sweet,1199
361541,portuguese,1197
109424,Symphonic Black Metal,1193
451215,visual kei,1189
85022,Old school Hardcore,1187
81355,Neo-Psychedelia,1186
27242,Contemporary,1185
268514,independent,1180
232498,francais,1177
81966,New Zealand,1174
383551,rocksteady,1173
21017,Brooklyn,1172
146820,avant garde,1172
416657,summer,1168
232994,freak folk,1167
153091,beat,1163
212841,electro-acoustic,1154
773,11,1152
166207,brilliant,1150
193614,dark wave,1147
141552,arabic,1146
276165,jamaica,1139
239220,gammarec,1139
448450,various artists are a PITA on lastfm,1138
368342,psychedelic folk,1137
387577,sad,1135
404915,soft,1135
401112,skate punk,1134
245875,good music,1134
455752,west coast,1130
176959,chill906,1130
36550,East Coast,1129
90754,Post-Industrial,1128
182453,coldwave,1127
319785,mod,1126
338486,northern soul,1126
17627,Big Band,1126
173327,catchy,1125
453722,want to see live,1125
388303,salsa,1125
400030,singer-songwriters,1124
388554,samba,1123
201902,diva,1121
252643,hair metal,1120
108550,Suomi,1120
420819,synth-pop,1119
372207,quirky,1115
278306,jazz piano,1113
337942,nordic,1113
410508,speedcore,1108
339883,not screamo,1103
363651,power electronics,1103
93270,RAC,1102
4129,60's,1101
438361,trap,1101
344770,oldschool hardcore,1099
170068,cabaret,1099
94378,Random,1097
4551,70's,1087
91607,Progressive Metalcore,1086
202060,diy,1085
186575,covers,1084
37483,Electro Pop,1083
302664,lovely,1080
365963,prog rock,1077
80328,NYC,1077
136614,america,1074
186286,country rock,1074
4520,7 stars,1072
207440,dub techno,1066
155545,best,1066
206973,drums,1066
29620,DJENT,1066
320079,modern metal,1063
269949,indonesian,1063
367881,psy,1062
193735,darker than the deepest sea,1059
269745,indiepop,1058
322671,motown,1055
388964,san francisco,1055
376090,real screamo,1053
191959,dance-pop,1053
233370,free improvisation,1050
117656,Trash,1048
209385,early music,1047
269935,indonesia,1044
101044,Schlager,1042
246902,goth rock,1037
120171,Uplifting,1036
273893,italia,1035
264279,hypnotic,1032
201396,discover,1032
346949,orchestra,1030
96104,Rhythmic Noise,1029
149838,balkan,1027
119030,UK Garage,1027
233666,freepurp1e,1024
219458,eurobeat,1021
441626,turkish,1020
298621,listen,1019
372512,r'n'b,1017
318140,minimal wave,1016
130966,afrobeat,1012
204941,doujin ongaku,1007
368472,psychedelic pop,1005
310078,math metal,1003
276231,jamendo,1001
298791,liszaj radio,998
13482,Austria,995
7776,Acoustic Rock,995
210288,eclectic,995
193219,dark folk,993
230593,folk punk,992
58793,Jam,991
167473,brutal,986
274288,italiani,984
318191,minimalist,982
402864,slowcore,981
32945,Deutschrap,978
85830,Oriental,978
13360,Aussie,976
204192,doo wop,975
439605,trippy,973
30903,Dark metal,973
440629,trumpet,973
193852,darkstep,972
90556,Portugal,971
13648,Avant-garde Metal,965
392697,seattle,965
163816,boston,963
33636,Dirty South,962
278459,jazz vocal,962
174884,chanson francaise,961
420126,sxsw 2009,960
279222,jecks,958
47329,Glam Metal,956
195946,deathrock,955
283907,k-pop,953
299267,live gesehen,947
251016,guilty pleasure,947
81321,Neo Soul,947
414717,streetpunk,946
334286,nice,942
92062,Psychedelia,940
198965,deutschland,940
97674,Romanian,939
231046,folktronica,939
405351,solo,935
302173,love at first listen,933
190711,d-beat,930
136062,ambient black metal,928
35085,Dream,926
277199,japanese rock,925
134522,alt rock,924
268614,india,922
31788,Death Doom Metal,921
205067,downbeat,921
366632,progressive psytrance,921
340936,nu disco,920
49819,Gypsy,919
272046,interesting,918
33817,Disney,916
218932,ethno,916
197615,denmark,913
344714,oldschool,912
161702,blues-rock,910
39559,Eurovision Song Contest,907
170719,calm,905
338285,north america,904
176674,chile,900
319009,mistagged,898
446177,unsigned,897
212984,electro-pop,897
134485,alt country,896
178567,christian metal,894
238041,future jazz,893
318115,minimal techno artists,892
24857,Chillosophy,888
96540,Ritual,887
13624,Avant-Garde Jazz,886
178823,christmas,885
254039,hard techno,885
233267,free,885
336592,no wave,883
138036,anarcho-punk,879
272817,ireland,879
390339,sax,878
228422,finnish metal,878
286720,kgrl,876
179509,cinematic,875
3784,5 Stars,875
276172,jamaican,875
303899,lusofonia,874
395352,sex,874
363943,powernoise,867
309177,martial industrial,867
250271,group,867
400917,ska-punk,864
371884,queer,863
51642,Hear,863
450382,viking metal,857
278518,jazz-funk,856
15390,Bandcamp,853
129222,acoustic guitar,852
205831,dreampop,851
153221,beatdown,851
1622,1990s,850
326125,musicals,843
175774,check-out,843
81781,New Orleans,841
309541,mash-up,840
157703,big beat,839
29225,DIsco House,839
324841,music i tried but didnt like,839
40704,FUCKING AWESOME,838
123267,West Coast Rap,838
221401,experimental electronic,837
51278,Harsh EBM,837
40601,FREE DOWNLOADS FROM FEMALE VOCALISTS AND FEMALE FRONTED BANDS,836
175760,check this out,835
92612,Punx,835
3506,40s,833
173939,cello,831
349574,pagan black metal,831
47184,Girl Groups,831
111317,Technical Metal,827
46425,GenteCheNonStaBene,826
69168,Local,825
325848,musica per gente che non sta bene di testa,824
4106,6 stars,823
319011,mistagged artist,822
236643,full-on,821
311865,meditative,821
261902,horror,818
437049,touhou,816
177325,chinese,816
81912,New Weird America,816
243323,girl group,813
168274,buddamat,812
128837,acid house,811
294116,latin jazz,810
134621,alt. rock,809
221480,experimental hip-hop,807
39538,Europop,807
229871,flute,806
56403,Indie-Rock,806
153775,bebop,803
225049,favourite artists,803
332162,netaudio,803
333240,new rave,802
208516,duyster,800
51312,HarukaEX S2,799
177949,choral,798
215978,emusic,797
15422,Bands I have seen live,797
253205,hands up,791
248839,greece,789
90729,Post-Black Metal,787
75962,Michigan,786
46737,German metal,785
130238,adult contemporary,785
458461,witch house,784
344354,old school thrash metal,783
244200,glitch-hop,779
190002,cybergrind,778
331411,neo-classical,778
239286,gangsta,777
420041,switzerland,777
38490,Energetic,777
391864,scotland,776
36072,EDM,775
223815,fantasy,774
95468,Reggaeton,772
198978,deutschpunk,772
217127,epic metal,772
239118,game soundtrack,771
215540,emo violence,771
1544,1980s,771
227493,field recordings,770
362154,post metal,767
363822,power violence,764
182533,collaboration,764
106102,Space Ambient,763
367931,psy trance,763
367991,psybient,762
174699,chamber pop,762
278123,jazz funk,758
214086,electropunk,757
378110,relaxation,757
8430,Aggrotech,756
375359,raw,756
2384,20th Century,756
280154,jewish,755
134933,alternative country,754
20906,Broadway,754
119476,Ukraine,754
407596,soulful,754
267812,improv,750
373252,radioparadise,750
106221,Spanish Rock,749
227790,film music,747
20938,Broken Beat,747
184420,contemporary christian,746
238018,future garage,745
294150,latin pop,743
255128,harsh noise,743
261973,horror punk,741
429436,the netherlands,740
153232,beatdown hardcore,740
423870,technical,739
391240,schlau machen,738
109456,Symphonic Rock,737
422614,tango,737
323874,multiple artists,736
10186,Ambient Techno,733
42550,Flamenco,732
224321,fastcore,732
445686,unique,731
229636,florida,731
108314,Suicidal Black Metal,730
418655,svenskt,730
65229,Kpop,729
393184,seen in concert,727
197845,depressive,727
356773,pixies palace,725
84191,OC ReMix,724
234138,french pop,724
29836,DSBM,723
358849,polish music,723
271514,instrumental hip hop,723
87077,Pagan,720
312558,melbourne,720
38338,Emotional Hardcore,719
442632,two or more artists with the same name,718
340737,np,718
168597,bulgarian,717
69992,Love it,717
268994,indie electronic,715
44716,Funk Rock,715
320047,modern jazz,715
213457,electronic dub,714
41490,Favourite bands,714
150738,bands i've seen live,714
43705,Fran̤ais,714
274274,italiana,712
191866,dance pop,709
359307,polska,709
103619,Singer/Songwriter,709
218246,espa̱ol,708
394679,serbian,708
256928,heavy rock,705
380884,ritual ambient,705
310039,math,705
90731,Post-Bop,703
408964,southern rap,702
456861,white power,701
333885,newbreed,699
233684,freestyle,699
300404,lol,698
186684,cowhat fav,697
96922,Rock 'n' Roll,695
100911,Scandinavian Girls,695
443465,uk Hardcore,694
335624,ninja tune,692
43416,Fox,692
373061,radio paradise,691
3047,30s,691
213689,electronic rock,691
221551,experimental metal,689
413818,stoner doom,688
255963,hc,688
351120,parody,687
93957,Radio,686
97179,Rock en Espanol,685
53511,Horrorcore,684
4902,8 bit,683
16062,Bay Area,680
1408,1960s,679
56445,Indietronic,678
177821,choir,677
76644,Minnesota,676
317964,minimal electronic,675
230568,folk pop,675
278568,jazz-rock,675
182400,cold wave,674
459259,wonky,674
355422,piano rock,673
378508,renaissance,671
50887,Hard Dance,671
224754,favorit,670
333019,new jersey,670
393096,seen,669
91658,Progressive deathcore,669
104167,Slamming Brutal Death Metal,668
338206,norsk,668
64660,Klassik,668
273593,israeli,667
134620,alt. metal,666
180625,classical music,666
108711,Supergroup,665
255578,haunting,665
380624,riot grrrl,665
270915,inne liszaj radio,665
95152,Recommended,664
347135,organ,663
360924,poprock,662
319877,modern,662
63566,Keep the Fate,660
303586,luisterpaal,654
28765,D'n'B,653
32951,Deutschrock,653
407796,sound art,653
81930,New York City,652
446447,upbeat,651
167625,brutal deathcore,651
84776,Ohio,651
408402,soundscapes,651
341400,nujazz,647
128606,accordion,647
81103,Nederlandstalig,645
49525,Guilty Pleasures,644
401330,skinhead reggae,644
358947,polish rock,644
408666,south african,643
188153,cronowish power,643
444808,under 100 listeners,642
105651,Soulful house,642
188031,croatian,642
191873,dance punk,641
232676,francophone,641
361461,portland,640
172404,caribbean,640
159177,black death metal,640
58060,J-music,639
45081,G-funk,639
207838,duet,638
28219,Crunk,638
190043,cyberpunk,638
436529,toronto,637
162521,bollywood,637
101440,Scryed Edward Tracks Power,636
447991,valkyriex loves,636
313131,melodic hard rock,636
46640,German Black Metal,634
121698,Virtuoso,634
218510,estonian,634
80266,NWOBHM,634
34654,Dope,633
198716,detroit techno,633
438041,trancecore,632
40173,Extreme Metal,632
50881,Hard Bop,631
207847,duets,631
57295,Irish Folk,631
424637,teen pop,630
298866,lithuanian,630
401147,skatepunk,629
442257,twee pop,629
322241,moshcore,629
236602,full on,629
318000,minimal house,628
187169,crazy,628
393619,seen live twice,628
204934,doujin,628
